# ref_src_2019_03.tsv をマルチクラスのGLAD法で品質評価した結果
# 本tsvファイルの列名は以下の通り。ただし、この行のように、「#」で始める行はコメント行。
#語彙素ID_1	語彙素読み1	語彙素1	語彙素ID_2	語彙素読み2	語彙素2	2つの語彙素が近しい意味を持つ確率
5532	オートマチック	オートマチック-automatic	146290	オートマ	オートマ-automatic	0.999926
58654	セキトメル	塞き止める	58781	セク	塞く	0.995308
201139	ウスラハゲ	薄ら禿げ	168488	ウスラ	薄ら	0.943622
309705	イントレ	イントレ	2700	イン	イン-in	0.856879
65994	ハセサンズル	馳せ参ずる	333785	ハセマイル	馳せ参る	0.999999
251326	シハライトドケ	支払い届け	241992	シハライサキ	支払い先	0.942839
56231	スキゴコロ	好き心	12917	コノム	好む	0.880736
212759	ウツリハエル	映り映える	3298	ウツル	映る	0.871402
27234	ドクター	ドクター-doctor	200542	ドク	ドク-doctor	0.984083
25474	テンプレート	テンプレート-template	276095	テンプレ	テンプレ	0.99998
274218	フカシナス	蒸かし茄子	194388	フカシ	蒸かし	0.987772
274482	ヤキタダラセル	焼き爛らせる	309212	クベ	焼べ	0.88059
25683	デパート	デパート-department	135425	デパ	デパ-department	0.895777
87294	フミコエル	踏み越える	87295	フミコス	踏み越す	0.999849
171880	アガリコメル	上がり込める	208068	アガリバ	上がり場	0.866344
171880	アガリコメル	上がり込める	309639	アガリギワ	上がり際	0.879419
6063	カキカエル	書き替える	6062	カキカエ	書き替え	0.999984
5245	オモイツケル	思い付ける	5243	オモイツキ	思い付き	0.99586
32045	ビデオディスク	ビデオディスク-videodisk	32042	ビデオ	ビデオ-video	0.921499
319831	センスル	選する	4087	エラブ	選ぶ	0.948955
217347	カルボキシラーゼ	カルボキシラーゼ	175247	カルボキシ	カルボキシ	0.883518
217382	マニアワセ	間に合わせ	333651	マニアイ	間に合い	0.986779
180901	モグリイル	潜り入る	37699	モグリ	潜り	0.937077
89241	コゴミコム	屈み込む	54077	コゴム	屈む	0.96273
48160	カキワケル	書き分ける	88054	カキ	書き	0.908274
104992	イタメニ	炒め煮	2586	イル	炒る	0.995843
13004	コミアウ	込み合う	13020	コム	込む	0.998565
4887	オサエコム	押さえ込む	207735	オサエヤク	押さえ役	0.980807
198092	シタテダイ	仕立て台	15430	シタテ	仕立て	0.854281
188778	タタカイゴッコ	戦いごっこ	22320	タタカイ	戦い	0.864808
45636	コンポジット	コンポジット-composite	45535	コンポ	コンポ-component	0.959322
90354	ハレタダレル	腫れ爛れる	30297	ハレル	腫れる	0.990424
264533	インターナショナライズド	インターナショナライズド-internationalized	2775	インターナショナル	インターナショナル-international	0.840205
26540	トバシ	飛ばし	26578	トブ	飛ぶ	0.936624
217883	テマガエ	手間代え	60477	テマダイ	手間代	0.820483
217104	シダレモミジ	枝垂れ紅葉	44568	シダレル	枝垂れる	0.946216
26805	トリチガエル	取り違える	26804	トリチガエ	取り違え	0.977884
185776	ゲートウェー	ゲートウェー-gateway	11777	ゲート	ゲート-gate	0.995958
185778	ファンタジスタ	ファンタジスタ-fantasista	32336	ファンタジア	ファンタジア-fantasia	0.913552
44656	ネームド	ネームド	41751	ネーム	ネーム-name	0.962055
47601	イイタリル	言い足りる	208943	イイタル	言い足る	0.993707
47631	イイフクメル	言い含める	172874	イイデル	言い出る	0.921498
47747	ウカレメ	浮かれ女	330929	ウカレ	浮かれ	0.997574
196025	アワセツギ	合わせ接ぎ	1303	アワセル	合わせる	0.986905
209183	ウカレクラス	浮かれ暮らす	160811	ウカレタツ	浮かれ立つ	0.913193
258321	ヤスラギカン	安らぎ感	38310	ヤスラギ	安らぎ	0.985478
252983	シメッポイ	湿っぽい	15798	シメル	湿る	0.995562
204083	ヨロコビタノシム	喜び楽しむ	39532	ヨロコビ	喜び	0.996752
89583	オシユルガス	押し揺るがす	223908	オシユラス	押し揺らす	0.99886
31231	ヒキシメル	引き締める	31230	ヒキシメ	引き締め	0.995474
114835	シャブヅケ	しゃぶ漬け	142107	シャブチュウ	しゃぶ中	0.995225
204443	ヤケホロビル	焼け滅びる	38224	ヤケル	焼ける	0.93113
203925	ニジミイデル	滲み出でる	71613	ニジミダス	滲み出す	0.980637
203925	ニジミイデル	滲み出でる	28351	ニジミデル	滲み出る	0.998943
203878	アンジイデル	案じ出でる	90398	アンジダス	案じ出す	0.863048
203924	ニゲイデル	逃げ出でる	92793	ニゲデル	逃げ出る	0.994956
203896	サシイデル	差し出でる	14150	サシダス	差し出す	0.809455
171596	ヌイアワセル	縫い合わせる	176027	ヌイアワス	縫い合わす	0.989455
92188	トリチラカル	取り散らかる	60996	トリチラス	取り散らす	0.84629
92213	フキチギレル	吹きちぎれる	89088	フキチギル	吹きちぎる	0.960791
172249	キリハガス	切り剥がす	88068	キリ	切り	0.869461
172323	ホグシイレル	解し入れる	34774	ホドク	解く	0.973334
172230	ハネチル	撥ね散る	63729	ハネ	撥ね	0.961346
177743	タチノカス	立ち退かす	190110	タチノキ	立ち退き	0.819526
234380	ヌリイロ	塗り色	28744	ヌル	塗る	0.975612
14071	サケヅクリ	酒造り	16331	シュゾウ	酒造	0.999956
209066	ミマネル	見真似る	68104	ミマネ	見真似	1.0
82627	インポテンツ	インポテンツ-Impotenz	260529	インポ	インポ	1.0
64682	ヒョロナガイ	ひょろ長い	198520	ヒョロナガ	ひょろ長	0.999978
39445	ヨビモドス	呼び戻す	39448	ヨブ	呼ぶ	0.907457
39481	ヨミフケル	読み耽る	39484	ヨム	読む	0.998172
169538	チャレンジング	チャレンジング-challenging	23716	チャレンジ	チャレンジ-challenge	0.995082
322454	シズミキエル	沈み消える	273810	シズミコミ	沈み込み	0.998287
310748	コミュニケーティング	コミュニケーティング	13016	コミュニケート	コミュニケート-communicate	0.999998
310744	コネクテッド	コネクテッド	41591	コネ	コネ-connection	0.999488
99897	アメリカニズム	アメリカニズム-Americanism	41900	アメリカーナ	アメリカーナ-Americana	0.998049
3080	ウケツケル	受け付ける	3079	ウケツケ	受け付け	1.0
58739	タテコメル	立て込める	58738	タテコム	立て込む	0.999318
134844	ポリス	ポリス-polis	120955	ポリ	ポリ-poly	0.948502
242608	キャラクタリゼーション	キャラクタリゼーション-characterization	178789	キャラヅクリ	キャラ作り	0.800423
86058	フリーランサー	フリーランサー-free lancer	185915	フリーランス	フリーランス-freelance	0.999954
86197	ボイルド	ボイルド-boiled	86195	ボイル	ボイル-boil	0.995031
86494	ボーダーライン	ボーダーライン-borderline	35272	ボーダー	ボーダー-border	0.999973
133732	チャージング	チャージング-charging	23732	チャージ	チャージ-charge	0.963243
87415	マモリソダテル	守り育てる	331830	マモリユク	守り行く	0.941823
87342	ツメカエル	詰め替える	103022	ツメカエ	詰め替え	0.994862
92749	カイアツメル	買い集める	252252	カイアツメ	買い集め	0.99999
147231	マスクド	マスクド-masked	35707	マスク	マスク-mask	0.913463
177465	ツクラス	作らす	24551	ツクリ	作り	0.913378
177651	フリキラス	振り切らす	33104	フリキル	振り切る	0.807938
236834	ナジミイロ	馴染み色	27830	ナジミ	馴染み	0.998652
193982	カキソエ	書き添え	88054	カキ	書き	0.891327
83200	スケッチブック	スケッチブック-sketchbook	19140	スケッチ	スケッチ-sketch	0.880091
117716	ポルノグラフィー	ポルノグラフィー	44377	ポルノ	ポルノ-pornography	0.923842
203898	シミイデル	染み出でる	258577	シミダシ	染み出し	0.907813
45531	エンターテイナー	エンターテイナー-entertainer	183593	エンタ	エンタ-entertainment	0.933098
92684	ユキダオレル	行き倒れる	192779	イキダオレ	行き倒れ	0.963912
